airplane	D_in	H_in	M_in	D_out	H_out	M_out	Pucks_Type_p_i_o
373	20	19	30	21	0	10	122
374	20	19	30	20	21	40	121
375	20	19	35	20	21	5	221
376	20	19	40	20	21	5	211
377	20	19	40	20	23	30	122
378	20	19	50	20	21	10	212
379	20	20	0	20	21	5	221
380	20	20	0	20	21	0	211
381	20	20	0	20	21	30	211
382	20	20	0	20	21	55	122
383	20	20	5	20	21	35	211
384	20	20	10	21	9	10	212
385	20	20	10	20	21	5	211
386	20	20	10	21	1	50	222
387	20	20	10	21	8	15	211
388	20	20	15	20	21	5	211
389	20	20	15	21	8	20	211
390	20	20	20	21	8	25	211
391	20	20	25	21	0	15	222
392	20	20	25	21	6	40	211
393	20	20	30	21	9	0	221
394	20	20	30	21	9	0	211
395	20	20	30	20	22	5	211
396	20	20	40	20	21	30	211
397	20	21	0	21	8	0	212
398	20	21	0	20	22	10	211
399	20	21	0	20	22	20	211
400	20	21	5	21	12	25	122
401	20	21	5	20	22	20	211
402	20	21	10	20	22	0	212
403	20	21	15	20	22	40	211
404	20	21	15	21	6	40	221
405	20	21	15	21	9	30	212
406	20	21	20	20	22	20	211
407	20	21	20	20	22	30	211
408	20	21	20	21	8	55	211
409	20	21	30	20	22	30	222
410	20	21	30	21	6	40	211
411	20	21	30	21	9	20	122
412	20	21	40	21	9	5	211
413	20	21	45	20	22	45	211
414	20	21	45	20	22	50	211
415	20	21	50	20	22	50	211
416	20	22	0	21	8	0	211
417	20	22	0	21	8	30	211
418	20	22	0	21	8	30	211
419	20	22	5	21	7	30	211
420	20	22	5	21	12	40	212
421	20	22	10	21	9	20	222
422	20	22	25	20	23	15	211
423	20	22	30	21	8	45	211
424	20	22	30	21	7	35	211
425	20	22	30	21	6	55	211
426	20	22	45	21	9	5	212
427	20	22	50	21	17	20	221
428	20	22	50	21	9	55	211
429	20	22	55	21	7	45	211
430	20	23	0	21	6	55	211
431	20	23	10	21	10	25	211
432	20	23	10	21	8	35	212
433	20	23	15	21	9	0	211
434	20	23	20	21	10	15	212
435	20	23	25	21	8	50	211
436	20	23	25	21	10	20	212
437	20	23	30	21	9	5	211
438	20	23	40	21	9	0	211
439	20	23	50	21	9	5	211
440	20	23	55	21	9	25	211
441	20	0	10	20	15	50	211
442	20	0	15	20	8	30	211
443	20	0	15	20	7	50	211
444	20	0	20	20	8	50	221
445	20	0	25	20	12	25	112
446	20	0	5	20	8	10	211
447	20	1	30	20	6	55	211
448	20	1	35	20	9	15	211
449	20	4	10	20	7	55	122
450	20	4	25	20	9	15	222
451	20	4	40	20	10	15	221
452	20	4	55	20	6	55	121
453	20	5	0	20	13	20	122
454	20	5	15	20	9	10	122
455	20	5	20	20	9	25	222
456	20	5	35	20	12	10	122
457	20	5	40	21	12	10	122
458	20	5	45	21	0	55	122
459	20	5	55	20	7	10	221
460	20	5	55	20	12	15	122
461	20	5	55	20	11	40	122
462	20	6	0	20	10	25	221
463	20	6	25	20	14	35	122
464	20	6	25	20	12	5	122
465	20	6	30	20	9	20	222
466	20	6	55	20	13	0	122
467	20	7	0	20	8	30	221
468	20	7	0	20	12	25	122
469	20	7	15	20	12	0	221
470	20	7	20	20	8	35	222
471	20	7	20	20	17	20	122
472	20	7	5	20	9	30	221
473	20	7	55	20	9	30	211
474	20	8	25	20	9	30	212
475	20	8	35	20	10	20	222
476	20	8	35	20	9	25	211
477	20	8	40	20	9	50	211
478	20	8	40	20	9	45	211
479	20	8	45	20	10	20	211
480	20	8	45	20	21	35	211
481	20	8	55	20	10	0	212
482	20	8	55	20	10	5	211
483	20	9	0	20	10	25	121
484	20	9	10	20	10	0	211
485	20	9	15	20	10	35	212
486	20	9	20	20	10	35	211
487	20	9	20	20	11	30	112
488	20	9	25	20	10	40	211
489	20	9	30	20	11	0	211
490	20	9	35	20	10	45	211
491	20	9	35	20	11	15	211
492	20	9	40	20	14	15	212
493	20	9	40	20	11	5	211
494	20	9	45	20	10	50	211
495	20	9	45	20	11	25	221
496	20	9	50	20	11	5	211
497	20	9	50	20	11	10	211
498	20	9	50	20	11	5	211
499	20	9	50	20	13	0	221
500	20	9	55	20	11	30	211
501	20	9	55	20	11	0	211
